"Source","Remove Occurrence Annotations","⌥⌘U","Editing JavaScript Source"
"C/C++ Source","Surround With Quick Menu","⌥⌘Z","C/C++ Editor"
"Task Repositories","New Subtask","⇧Insert","In Tasks View"
"JavaScript Debug","Evaluate","⇧⌥E","Editing JavaScript Source"
"Text Editing","Line Up","⌃P","Editing Text"
"Navigate","Open Type Hierarchy","F4","In C/C++ Views"
"File","Print","⌘P","In Windows"
"Run/Debug","Toggle Memory Monitors Pane","⌘T","In Memory View"
"SVN","Lock...","⌃⌥K","In Windows"
"File","Properties","⌘I","In Windows"
"C/C++ Source","Organize Includes","⇧⌘O","C/C++ Editor"
"Navigate","Open Task","⌥⌘F12","In Windows"
"File","Print","Esc F9","In Windows"
"Edit","Copy","Esc W","In Dialogs and Windows"
"Navigate","Expand All","⇧⌘Numpad_Multiply","In Windows"
"Navigate","Open Type","⇧⌘T","Editing JavaScript Source"
"プロパティエディタ","コメントの切り替え","⌃/","プロパティエディタ"
"Edit","Incremental Find","⌘J","Editing Text"
"Text Editing","Cut to End of Line","⌃K","Editing Text"
"Text Editing","Swap Mark","⌃X ⌃X","Editing Text"
"Run/Debug","Debug OSGi Framework","⌃⌥⌘D O","In Windows"
"Window","Toggle Split Editor (Vertical)","⇧⌘[","In Windows"
"Project","Build All","⌘B","In Windows"
"Text Editing","Next Word","Esc F","Editing Text"
"Text Editing","Delete Next","⌃D","Editing Text"
"Run/Debug","Go to Address","⌘G","In Table Memory Rendering"
"Navigate","Last Edit Location","⌃Q","In Windows"
"C/C++ Source","Toggle Source/Header","⌘Tab","C/C++ Editor"
"Web Page Editor Layout","Graphical Designer","⇧⌘F11","Using Web Page Editor"
"C/C++ Source","Sort Lines","⌃⌘S","C/C++ Editor"
"Navigate","Next","⌃.","In Windows"
"Run/Debug","Use Step Filters","⇧F5","In Windows"
"Source","Format","⇧⌘F","Editing Java Source"
"Navigate","Quick Outline","⇧⌘O","Task Markup Editor Source Context"
"SQL Results View","Remove All Visible Results","⇧⌦","In Windows"
"Edit","Matching Tag","⇧⌃.","Editing in Structured Text Editors"
"Window","Quick Switch Editor","⌘E","In Windows"
"Text Editing","Select Line Start","⇧⌘←","Editing Text"
"Text Editing","Delete Previous Word","Esc ⌫","Editing Text"
"Navigate","Open Type in Hierarchy","⇧⌘H","In Windows"
"Run/Debug","Next Page of Memory","⇧⌘.","In Table Memory Rendering"
"Navigate","Open Type in Hierarchy","⇧⌘H","In C/C++ Views"
"Source","Quick Assist - Extract method","⌘2 M","Editing Java Source"
"Terminal view commands","Terminal view insert","⌥D","Terminal Typing Connected"
"Run/Debug","Debug","⌘F11","In Windows"
"Refactor - C++","Extract Function - Refactoring ","⌥⌘M","C/C++ Editor"
"Navigate","Quick Hierarchy","⌘T","Editing JavaScript Source"
"Edit","Remove Block Comment","⌘\","Editing in Structured Text Editors"
"Views","Show View (Variables)","⌥⌘Q V","In Windows"
"Task Repositories","Mark Task Read","⇧⌥R","In Tasks Editor"
"Project","Make Target Build","⇧F9","In Windows"
"Edit","Cut","⌃W","In Dialogs and Windows"
"Web Page Editor Layout","Horizontal Layout","⇧⌘F10","Using Web Page Editor"
"File","Close","⌃X K","In Windows"
"Window","Next View","⌘F7","In Windows"
"Text Editing","Select Previous Word","⇧⌥←","Editing Text"
"Terminal view commands","Copy","⇧⌘C","Terminal Widget in Focus"
"Text Editing","Line Start","⌃A","Editing Text"
"SQL Results View","Terminate Result","⌘Break","In Windows"
"Navigate","Open Type Hierarchy","F4","JavaScript View"
"Navigate","Previous Page","⇧⌥F7","In Windows"
"Run/Debug","Previous Page of Memory","⇧⌘,","In Table Memory Rendering"
"Source","Add Block Comment","⌃⌘/","Editing Java Source"
"Refactor - C++","Extract Constant - Refactoring ","⌥C","C/C++ Editor"
"Navigate","Next Page","⌘F5","In Faces Config Editor"
"Window","Show Context Menu","⇧F10","In Dialogs and Windows"
"Text Editing","Previous Word","⌥B","Editing Text"
"Run/Debug","Run JUnit Test","⌥⌘X T","In Windows"
"Refactor - JavaScript","Move - Refactoring ","⌥⌘V","JavaScript View"
"Text Editing","Line Start","⌘←","Editing Text"
"Git","Paste Repository Path or URI","⌘V","In Git Repositories View"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Text Editing","Expand","⌘Numpad_Add","Editing Text"
"SVN","Latest from Repository","⌃⌥L","In Windows"
"C/C++ Source","Go to Previous Member","⌃⌥↑","C/C++ Editor"
"C/C++ Source","Add Include","⇧⌘N","C/C++ Editor"
"Text Editing","Cut to Beginning of Line","Esc 0 ⌃K","Editing Text"
"Navigate","Open Maven POM","⇧⌥P","In Windows"
"Source","Surround With Quick Menu","⌥⌘Z","In Windows"
"プロパティエディタ","Unicode表示","⌃I","プロパティエディタ"
"Navigate","Open Call Hierarchy","⌃⌥H","In C/C++ Views"
"Source","Toggle Comment","⌘7","Editing Properties Files"
"Terminal view commands","Terminal view insert","⌥W","Terminal Typing Connected"
"Refactor - Java","Change Method Signature","⌥⌘C","In Windows"
"SVN","URL...","⌃⌥R","In Windows"
"Database Tools","Execute Current Text","⌥S","Editing SQL"
"Source","Add JSDoc Comment","⌥⌘J","JavaScript View"
"Window","Switch to Editor","⌃X ⌃B","In Windows"
"Navigate","Go To Previous Unread Task","⌥↑","In Tasks View"
"Window","Show Contributing Plug-in","⇧⌥F3","In Dialogs and Windows"
"Source","Add Import","⇧⌘M","Editing JavaScript Source"
"Text Editing","Scroll Line Down","⌃↓","Editing Text"
"Search","Show Occurrences in File Quick Menu","⇧⌘U","JavaScript View"
"Window","Quick Access","⌘3","In Windows"
"Text Editing","Set Mark","⌃Space","Editing Text"
"Navigate","Open Structure","⌘F3","Editing Java Source"
"Refactor - C++","Extract Local Variable - Refactoring ","⌥⌘L","C/C++ Editor"
"Edit","Select Previous Element","⇧⌃↖","Editing Java Source"
"Text Editing","Copy Lines","⌥⌘↓","Editing Text"
"Text Editing","Duplicate Lines","⌥⌘↑","Editing Text"
"Text Editing","Text Start","⌃X [","Editing Text"
"Uncategorized","Add Artifact to Target Platform","⇧⌥⌘A","In Windows"
"Terminal view commands","Copy","⌘C","Terminal Widget in Focus"
"Text Editing","Text Start","Esc ⇧<","Editing Text"
"Text Editing","Previous Word","Esc B","Editing Text"
"Run/Debug","Add Memory Block","⌥⌘M","In Memory View"
"Text Editing","Next Word","⌥→","Editing Text"
"Edit","Copy","⌘C","In Dialogs and Windows"
"Refactor - Java","Show Refactor Quick Menu","⌥⌘T","In Windows"
"Text Editing","Scroll Line Up","Esc Z","Editing Text"
"Navigate","Previous Page","⇧⌘F5","In Faces Config Editor"
"Run/Debug","Debug XSLT Transformation","⌥⌘D X","In Windows"
"Navigate","Backward History","⌘[","In Windows"
"Refactor - JavaScript","Show Refactor Quick Menu","⌥⌘T","JavaScript View"
"Navigate","Open Type in Hierarchy","⇧⌘H","JavaScript View"
"File","Properties","⌥↩","In Windows"
"Source","Toggle Ant Mark Occurrences","⌥⌘O","Editing Ant Buildfiles"
"Task Editor","Submit Task","⇧⌥S","In Tasks Editor"
"Window","Toggle Full Screen","⌃⌘F","In Windows"
"Run/Debug","All Instances","⇧⌘N","In Windows"
"Text Editing","Text Start","↖","Editing Text"
"Navigate","Quick Outline","⌘O","Editing in Structured Text Editors"
"Edit","Context Information","⌥?","In Windows"
"Task Repositories","Mark Task Complete","⇧⌥C","In Tasks Editor"
"Terminal view commands","Terminal view insert","⌥G","Terminal Typing Connected"
"File","New","⌘N","In Windows"
"ASA 9.x table schema editor","Copy","⌥C","In Windows"
"Run/Debug","Run Java Applet","⌥⌘X A","In Windows"
"Text Editing","Select Next Word","⇧⌥→","Editing Text"
"Edit","Shift Left","⇧Tab","C/C++ Editor"
"Reverse Debugging Commands","Uncall","⇧F7","Debugging C/C++"
"Terminal view commands","Terminal view insert","⌥S","Terminal Typing Connected"
"Navigate","Open Call Hierarchy","⌃⌥H","JavaScript View"
"Navigate","Open Structure","⌘F3","Editing JavaScript Source"
"Run/Debug","Debug JUnit Test","⌃⌥⌘D T","In Windows"
"Edit","Select Next C/C++ Element","⇧⌃→","C/C++ Editor"
"Terminal view commands","Terminal view insert","⌥L","Terminal Typing Connected"
"Focused UI","Show Context Quick View","⇧⌥⌘→","In Windows"
"Views","Show View (Synchronize)","⌥⌘Q Y","In Windows"
"Source","Remove Block Comment","⌃⌘\","Editing Java Source"
"Text Editing","Scroll Line Up","⌥Z","Editing Text"
"Text Editing","Toggle Folding","⌘Numpad_Divide","Editing Text"
"Search","Find Text in Workspace","⌥⌘G","In Windows"
"Source","Toggle Mark Occurrences","⌥⌘O","Editing Java Source"
"Run/Debug","Go to Address...","⌘G","In Disassembly"
"Terminal view commands","Paste","⇧Insert","Terminal Widget in Focus"
"Edit","Remove Block Comment","⇧⌘\","Editing in Structured Text Editors"
"Task Repositories","Mark Task Unread","⇧⌥U","In Tasks View"
"Terminal view commands","Terminal view insert","⌥P","Terminal Typing Connected"
"Edit","Select Enclosing Element","⇧⌥↑","Editing in Structured Text Editors"
"Edit","Redo","⌃X R","In Windows"
"Text Editing","Text Start","Esc <","Editing Text"
"Run/Debug","Run Maven Build","⇧⌥X M","In Windows"
"Views","Show View (Javadoc)","⌥⌘Q J","In Windows"
"Search","References in Workspace","⇧⌘G","In Windows"
"ASA 9.x table schema editor","Cut","⌥X","In Windows"
"Views","Show View (Problems)","⌥⌘Q X","In Windows"
"Edit","Add Block Comment","⇧⌘/","Editing in Structured Text Editors"
"Run/Debug","Step Into","F5","Debugging"
"Text Editing","Cut to Beginning of Line","⌥0 ⌃K","Editing Text"
"SVN","Add to svn:ignore...","⌃⌥I","In Windows"
"Navigate","Quick Outline","⌘O","Editing Java Source"
"Makefile Source","Comment","⌃/","Makefile Editor"
"Run/Debug","Run OSGi Framework","⌥⌘X O","In Windows"
"Text Editing","Text Start","⌘↖","Editing Text"
"Navigate","Go To Next Unread Task","⌥↓","In Tasks View"
"Window","Previous Perspective","⇧⌘F8","In Windows"
"Window","Next Perspective","⌘F8","In Windows"
"C/C++ Source","Toggle Mark Occurrences","⌥⌘O","C/C++ Editor"
"Edit","Content Assist","⌥/","In Dialogs and Windows"
"Edit","Delete","⌦","In Windows"
"Terminal view commands","Copy","⌘Insert","Terminal Widget in Focus"
"Edit","Context Information","⇧⌥?","In Windows"
"Navigate","Open Call Hierarchy","⌃⌥H","In Windows"
"Refactor - JavaScript","Extract Local Variable","⌥⌘L","JavaScript View"
"Edit","Restore Last Selection","⇧⌃⇟","Editing Java Source"
"File","Save","⌃X ⌃S","In Windows"
"Text Editing","Delete Line","⌘D","Editing Text"
"Run/Debug","New Rendering","⌘N","In Memory View"
"Git","Commit...","⌥⌘3","In Windows"
"C/C++ Source","Forward","⌥→","In Macro Expansion Hover"
"Refactor - C++","Rename - Refactoring ","⌥⌘R","In C/C++ Views"
"Navigate","Open Resource","⌃X ⌃F","In Windows"
"Edit","Incremental Find","⌃S","Editing Text"
"Edit","Incremental Find Reverse","⌃R","Editing Text"
"File","Close All","⇧⌘W","In Windows"
"SVN","Synchronize with Repository","⌃⌥S","In Windows"
"Task Repositories","Mark Task Read","⇧⌥R","In Tasks View"
"Edit","Redo","F10","In Windows"
"Task Repositories","Mark Task Read and Go To Next Unread Task","⇧⌥↓","In Tasks View"
"C/C++ Source","Show outline","⌘O","C/C++ Editor"
"Edit","Add Maven Plugin","⇧⌃P","Editing XML Source"
"Edit","Select Enclosing Element","⇧⌃↑","Editing JavaScript Source"
"Search","Declaration in Workspace","⌘G","JavaScript View"
"Source","Quick Assist - Assign to local variable","⌘2 L","Editing Java Source"
"Edit","Toggle Insert Mode","⇧⌘Insert","Editing Text"
"Window","Previous Editor","⇧⌘F6","In Windows"
"Edit","Move","⇧⌥V","Editing JSP Source"
"Views","JavaScript Script Explorer","⌥⌘Q P","JavaScript View"
"Edit","Toggle Block Selection","⌥⌘A","Editing Text"
"Edit","Add Maven Dependency","⇧⌃D","Editing XML Source"
"Task Repositories","Mark Task Incomplete","⇧⌥I","In Tasks View"
"Database Tools","Execute Selected Text","⌥X","Editing SQL"
"Run/Debug","Debug JUnit Plug-in Test","⌃⌥⌘D P","In Windows"
"C/C++ Source","References","⇧⌘G","C/C++ Editor"
"Source","Organize Imports","⇧⌘O","JavaScript View"
"Edit","Restore Last Selection","⇧⌥↓","Editing in Structured Text Editors"
"Text Editing","Next Word","⌥F","Editing Text"
"Refactor - JavaScript","Change Function Signature","⌥⌘C","JavaScript View"
"Views","Show View (Console)","⌥⌘Q C","In Windows"
"Run/Debug","Inspect","⇧⌘I","In Dialogs and Windows"
"JavaScript Debug","JavaScript Breakpoint Properties","⌘↩","In Breakpoints View"
"SVN","Update","⌃⌥U","In Windows"
"Window","Next Editor","⌘F6","In Windows"
"Edit","Undo","⇧⌃-","In Windows"
"Source","Add Import","⇧⌘M","Editing Java Source"
"Text Editing","Reset Structure","⇧⌘Numpad_Multiply","Editing Text"
"Window","Toggle Split Editor (Horizontal)","⇧⌘-","In Windows"
"Edit","Toggle Comment","⇧⌘C","Editing in Structured Text Editors"
"Text Editing","Delete Next Word","⌥⌦","Editing Text"
"Edit","Quick Fix","⌘1","In Dialogs and Windows"
"SQL Results View","Remove Result","⌘⌦","In Windows"
"Text Editing","Move Lines Down","⌥↓","Editing Text"
"Navigate","Forward History","⌥⌘→","In Windows"
"Text Editing","Previous Column","⌃B","Editing Text"
"C/C++ Source","Explore Macro Expansion","⌘=","C/C++ Editor"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Run/Debug","Step Into Selection","⌘F5","Debugging C/C++"
"Web Page Editor Layout","Source Code","⇧⌘F12","Using Web Page Editor"
"Refactor - JavaScript","Inline","⌥⌘I","JavaScript View"
"Run/Debug","Java Breakpoint Properties","⌥↩","In Breakpoints View"
"C/C++ Source","Add Block Comment","⇧⌘/","C/C++ Editor"
"Navigate","Open Resource","⇧⌘R","In Windows"
"Text Editing","Line Down","⌃N","Editing Text"
"Edit","Restore Last Selection","⇧⌃↓","Editing XML Source"
"Navigate","Open Manifest","⇧⌥⌘M","In Windows"
"JavaScript Debug","Open Source","⇧⌘3","Debugging"
"Server","Run","⌥⌘R","In Servers View"
"Text Editing","Delete to End of Line","⇧⌘⌦","Editing Text"
"Refactor - Java","Move - Refactoring ","⌥⌘V","In Windows"
"Focused UI","Focus on Active Task","⇧⌥H","In Windows"
"Run/Debug","Run on Server","⇧⌥X R","In Windows"
"Edit","Next Sibling","⇧⌃↓","Editing in Structured Text Editors"
"Run/Debug","Run Ant Build","⌥⌘X Q","In Windows"
"Reverse Debugging Commands","Reverse Resume","⇧F8","Debugging C/C++"
"Run/Debug","Go to Program Counter","↖","In Disassembly"
"Run/Debug","EOF","⌃D","In I/O Console"
"Window","Switch to Editor","⇧⌘E","In Windows"
"Terminal view commands","Terminal view insert","⌥Y","Terminal Typing Connected"
"Navigate","Show In Breadcrumb","⌥⌘B","Editing Java Source"
"C/C++ Source","Open Element","⇧⌘T","In C/C++ Views"
"C/C++ Source","Surround With Quick Menu","⇧⌥Z","C/C++ Editor"
"Reverse Debugging Commands","Reverse Step Over","⇧F6","Debugging C/C++"
"Text Editing","Scroll Line Up","⌃↑","Editing Text"
"C/C++ Source","Go to Matching Bracket","⇧⌘P","C/C++ Editor"
"EMF Code Generation","Generate Code","⇧⌥G","In Windows"
"Window","Show Key Assist","⇧⌘L","In Dialogs and Windows"
"Text Editing","Collapse All","⇧⌘Numpad_Divide","Editing Text"
"Terminal view commands","Terminal view insert","⌥R","Terminal Typing Connected"
